Distance,Overlap
45.839,37.944468609277564
-5.152,0
11.166,4.828436064840595
-62.87,0
2.601,0.549484820838368
21.076,12.333302904260675
-0.553,0
-58.654,0
4.487,1.2419033127762424
-100,0
18.497,10.18642320343328
-84.257,0
67.803,65.02616568142501
-100,0
28.061,18.741259120261336
26.397,17.14881501361848
-99.489,0
12.281,5.556329005429832
-100,0
-75.873,0
36.399,27.29167796604019
48.667,41.226452232706905
-100,0
-49.539,0
37.68,28.705079855630565
47.447,39.78353380656327
-12.477,0
-1.376,0
-50.095,0
16.121,8.313510232026498
-100,0
-25.64,0
-69.957,0
-29.007,0
-100,0
-71.49,0
-36.404,0
-100,0
46.315,38.47191817860956
65.347,61.902719458549626
-10.92,0
8.006,2.945023324739908
-9.116,0
18.479,10.166351374101612
121.643,100
90.776,92.93369117181844
36.476,27.37509858795631
-100,0
3.473,0.8470837861417977
-100,0
41.811,33.27684425685928
100.848,100
-67.122,0
18.379,10.079814558909952
55.782,49.89292768680084
125,100
13.953,6.7167658879360115
111.182,100
57.133,51.56756278691934
0.009,0.00011964987933687917
30.532,21.166119586049923
-100,0
41.438,32.85486376648592
59.386,54.37760242093862
0.799,0.0937847503225028
-4.607,0
50.036,42.92140417752556
45.027,36.968452254255226
1.383,0.2134642942696014
27.389,18.087672803003336
114.865,100
85.971,87.60435362383903
-100,0
102.909,100
-39.264,0
44.063,35.85209514157335
34.119,24.86598802048743
-49.617,0
-13.168,0
-100,0
74.015,72.96374946008382
31.338,21.979569014674798
125,100
122.927,100
-4.966,0
125,100
4.49,1.2426093659267545
42.448,34.00043517037222
-10.637,0
-9.118,0
20.091,11.496265432448165
34.034,24.776722844652056
4.852,1.3957674568124003
-63.644,0
17.338,9.255695772418436
-100,0
20.09,11.505498125108144
-79.761,0
125,100
121.576,100
125,100
-29.67,0
-100,0
31.444,22.09975548483318
74.265,73.21018797379779
-11.37,0
-100,0
125,100
-30.468,0
125,100
-100,0
16.371,8.512218177421754
9.364,3.718106314701942
6.092,1.9600497359792448
-56.021,0
-76.263,0
-23.086,0
48.922,41.58698527082977
52.622,46.01527047301633
-32.57,0
3.952,1.0273632979073448
-5.93,0
2.601,0.549484820838368
-100,0
-100,0
120.514,100
125,100
-63.644,0
59.831,54.9360087851363
-32.542,0
98.596,99.52334788897436
85.475,87.07095961222527
-56.581,0
35.341,26.159029574160876
105.303,100
8.597,3.2743669804582223
-28.418,0
40.46,31.7545422792056
30.991,21.64080783656521
-100,0
50.846,43.86335048037805
-13.546,0
44.206,35.99518326388066
47.524,39.90517069426593
49.769,42.56781846988415
-47.42,0
125,100
1.7,0.2908952274717789
23.694,14.640266306233707
32.795,23.48595983402471
125,100
-9.302,0
41.551,33.013672284826995
18.709,10.356204486280223
50.087,42.96004969649188
-0.102,0
125,100
-48.278,0
-65.044,0
125,100
4.402,1.2071491615662848
-100,0
37.932,28.955971584750763
46.13,38.28516065654687
-2.805,0
86.047,87.72130522917159
-4.987,0
115.867,100
29.642,20.288615263650392
-0.165,0
64.791,61.19691983619228
47.787,40.237558438456304
52.622,46.01527047301633
8.293,3.1033894293143924
-100,0
62.472,58.2604930152092
125,100
-100,0
125,100
0.486,0.04453622989059215
-100,0
53.579,47.18369917214296
115.42,100
70.513,68.47588876697192
-1.811,0
50.893,43.897619678391905
-100,0
36.849,27.77797218786027
46.526,38.72943468493285
20.272,11.652643858456223
51.27,44.37546780728542
96.864,98.4568584761607
-80.861,0
-63.371,0
4.54,1.2637881319529451
36.059,26.911186814028177
-2.805,0
65.356,61.95484905086457
-94.739,0
58.14,52.82053078406875
-9.371,0
49.469,42.207994131387
39.552,30.741850372586395
67.142,64.18423010631666
125,100
-100,0
104.937,100
53.973,47.66640660322469
61.187,56.64048850960669
14.77,7.305830178632938
-100,0
16.987,8.980920554000555
-7.572,0
125,100
-76.717,0
11.34,4.940357682656799
21.076,12.333302904260675
-27.853,0
27.646,18.335045519136532
39.992,31.2577876428916
-100,0
50.894,43.954863003812314
-25.272,0
31.393,22.047871421868265
125,100
5.3,1.5916742966200252
54.055,47.802026612920926
125,100
59.386,54.37760242093862
2.646,0.5633514083037439
-79.078,0
52.348,45.682112989669264
-27.122,0
111.415,100
37.4,28.375592010131218
-42.411,0
-38.411,0
54.973,48.894385386598586
-43.681,0
33.642,24.376467568636542
,
25.214,16.032469337327473
44.155,35.9576802996663
-6.893,0
-9.807,0
125,100
50.37,43.28893450471665
22.519,13.590311353418787
125,100
-59.646,0
125,100
44.12,35.917061933702364
