Distance,Overlap,
76.094,75.5493900145546,
56.308,50.54381279491774,
63.89,60.054673456347786,
-0.102,0,
123.378,100,
125,100,
-100,0,
51.27,44.37546780728542,
38.45,29.500354699520177,
110.412,100,
-16.536,0,
8.907,3.4513082613807198,
92.67,94.84916123841006,
53.072,46.56442735963163,
99.945,99.9962286723583,
-4.496,0,
-76.073,0,
61.638,57.208005413393295,
35.498,26.325952136685615,
125,100,
-100,0,
-100,0,
-1.944,0,
-100,0,
75.194,74.45494283418972,
26.486,17.215959448307686,
65.109,61.6614494311019,
110.308,100,
-100,0,
92.733,94.9108256886515,
43.691,35.45154238158222,
72.457,70.92060719175495,
87.328,89.16189536425252,
-100,0,
-37.27,0,
-100,0,
-100,0,
30.623,21.257629823631177,
109.347,100,
125,100,
76.087,75.54139177714477,
26.038,16.802572227450064,
33.76,24.500804367283735,
13.953,6.7167658879360115,
30.272,20.926227869840904,
45.415,37.41886175305206,
12.517,5.718975817003373,
82.471,83.44709776839056,
-17.677,0,
-73.11,0,
100.201,100,
56.338,50.58086206201517,
125,100,
-31.197,0,
5.754,1.8001534798425727,
-0.109,0,
-0.703,0,
125,100,
15.905,8.152188768964361,
68.664,66.13485598656897,
16.572,8.65896975558025,
49.919,42.747751430405145,
125,100,
12.117,5.453015210039433,
125,100,
-100,0,
6.614,2.214561545259185,
7.105,2.4654123712786014,
119.774,100,
119.772,100,
36.157,27.043044032642104,
125,100,
-50.574,0,
34.273,25.028226575647892,
60.814,56.17103080636302,
31.409,22.06430516035288,
12.596,5.772422280307763,
-100,0,
59.341,54.28568425528797,
-6.411,0,
-74.784,0,
79.575,79.91116069778873,
18.379,10.08540133555546,
-0.102,0,
125,100,
30.993,21.64292073635966,
57.005,51.379606687520315,
24.452,15.334104677526708,
9.393,3.734731800048451,
125,100,
55.548,49.60386479776063,
125,100,
24.229,15.126409589399998,
-47.829,0,
37.228,28.212089240019818,
-0.102,0,
67.566,64.69298722740258,
84.618,86.01755970705335,
13.842,6.633972343176371,
-100,0,
-66.653,0,
-0.105,0,
63.213,59.21312091767531,
27.317,18.018379199820473,
66.875,63.812938143968786,
59.93,55.098653709240786,
-56.614,0,
40.456,31.75060121205527,
39.54,30.75382657319452,
30.09,20.723412619239685,
22.427,13.508914762768642,
75.292,74.59807241355479,
125,100,
34.667,25.429350640290394,
-35.702,0,
30.58,21.2259152373385,
111.384,100,
4.949,1.437796573434507,
-7.256,0,
-100,0,
34.647,25.40861218937468,
45.487,37.502941009437436,
-37.526,0,
-25.884,0,
-100,0,
21.168,12.411922868067874,
125,100,
25.462,16.26285038956467,
-100,0,
125,100,
-100,0,
19.274,10.81638004047178,
125,100,
-2.366,0,
68.845,66.35227703798519,
30.458,21.13081041767979,
52.171,45.46737294708069,
-100,0,
28.29,18.95938465820369,
-100,0,
56.217,50.44334503833051,
5.194,1.545296404531975,
-57.682,0,
48.459,41.01928867179666,
23.779,14.71713250080217,
35.348,26.173284975728773,
4.853,1.3961796686147203,
97.259,98.7302379847763,
66.66,63.54007826280734,
-100,0,
-75.501,0,
-10.019,0,
6.254,2.0382206807899843,
46.766,39.000927533942516,
11.012,4.733862280330088,
42.048,33.57760480054223,
-100,0,
119.899,100,
38.651,29.745308158945576,
-100,0,
125,100,
68.406,65.74696858482241,
60.736,56.0722046668482,
14.172,6.879114913181461,
5.754,1.8001534798425727,
-100,0,
71.025,69.12745404745169,
62.989,58.91432865360592,
38.044,29.078590611619088,
7.706,2.78359893829774,
45.978,38.076239160325784,
27.969,18.634453128417494,
-51.94,0,
68.845,66.35227703798519,
11.543,5.071889173341126,
125,100,
36.817,27.727773893753792,
-1.453,0,
125,100,
30.543,21.188761601822375,
125,100,
47.667,40.063771507739425,
40.777,32.13670272126592,
79.663,80.00742990636779,
54.424,48.21917228185726,
41.361,32.767449628484535,
120.675,100,
119.408,100,
33.446,24.16199696524286,
91.456,93.65518832430126,
45.878,37.960205235644565,
125,100,
-100,0,
54.439,48.23849136698322,
-20.253,0,
23.271,14.260046390164858,
125,100,
74.735,73.87453525008343,
125,100,
36.396,27.274211807123084,
54.178,47.91760537070792,
-93.838,0,
73.607,72.4207294293402,
125,100,
18.451,10.14356789799981,
-0.554,0,
125,100,
64.519,60.82552337739385,
3.987,1.041064094310018,
-5.958,0,
44.176,35.98205652634249,
90.53,92.67519843686763,
84.167,85.4832658159882,
12.968,6.026890280638456,
71.201,69.3242952938671,
72.63,71.13676047999272,
-84.667,0,
-100,0,
-80.126,0,
-27.143,0,
-26.242,0,
-100,0,
29.307,19.9573954104569,
125,100,
-19.032,0,
34.076,24.82105586741799,
-37.433,0,
125,100,
125,100,
32.436,23.115485010863786,
125,100,
-100,0,
-3.995,0,
23.894,14.825672789305349,
-27.98,0,
-100,0,
125,100,
21.886,13.04537834467163,
67.142,64.18423010631666,
-29.564,0,
125,100,
-100,0,
100.473,100,
50.822,43.83363799202659,
24.973,15.830243784503336,
-0.433,0,
75.911,75.31981487061311,
-12.25,0,
125,100,
112.109,100,
